size,nprocs,time
160000000,16,10.8429
10000000,1,2.88946
160000000,1,56.7222
20000000,1,6.00992
320000000,1,121.621
40000000,1,12.9481
80000000,1,27.5388
20000000,2,3.5441
320000000,32,20.8869
40000000,4,4.75879
80000000,8,6.91959
