size,time
10000,0.0015082
100000,0.018831
1000000,0.231527
10000000,2.88946
100000000,36.4515
20000,0.0032152
200000,0.0406224
2000000,0.479705
20000000,6.00992
40000,0.0067956
400000,0.082814
4000000,1.04408
40000000,12.9481
60000,0.0107636
600000,0.127872
6000000,1.60551
60000000,20.1903
80000,0.0147318
800000,0.174482
8000000,2.28817
80000000,27.5388
